f_id,i_id,dim0,dim1
1,1,-2.2593284,1.1199169
1,3,-2.0418034,1.6214879
1,4,-1.8321625,1.2907054
1,5,-2.0510361,1.4799489
2,1,8.3887415,4.9022555
2,3,8.653461,4.666353
2,4,8.915188,5.029568
2,5,8.752366,4.7979717
3,1,1.449009,3.216917
3,3,0.7849237,1.0961747
3,4,0.9660902,0.9847178
3,5,1.5862436,2.791092
4,1,1.7013874,1.8634331
4,3,1.4626366,1.2171609
4,4,1.6826191,1.1855365
4,5,1.4613035,1.4472792
5,1,-1.0482577,1.0626622
5,3,-1.0233058,1.3367361
5,4,-0.72196263,1.380673
5,5,-0.7206911,0.9350049
6,1,8.825951,3.4875674
6,3,8.609173,4.0482717
6,4,9.008975,3.8574224
6,5,8.792726,4.19648
7,1,-0.55940163,1.7493641
7,3,-0.41096368,3.198911
7,4,-0.39828485,2.7439415
7,5,-0.5939308,2.2069898
8,1,8.653012,3.333058
8,3,8.353954,3.6442962
8,4,8.577947,3.4367316
8,5,8.221266,3.8934195
9,1,10.879318,5.25132
9,3,10.669446,4.9787736
9,4,10.673302,4.838243
9,5,10.50575,5.234308
10,1,9.653225,3.7463884
10,3,10.002002,4.318226
10,4,9.704495,3.8131251
10,5,10.265608,4.524479
11,1,9.883123,4.906667
11,3,9.490601,4.5257206
11,4,9.192041,4.258845
11,5,10.15779,4.5843797
12,1,10.912435,4.199932
12,3,10.630521,3.7805154
12,4,10.844232,4.087904
12,5,10.7914915,3.9579825
13,1,-1.4712384,1.4818467
13,3,0.7828266,3.1291888
13,4,0.9921691,2.8946729
13,5,1.3286694,2.8954728
14,1,-1.149483,1.8729191
14,3,-0.8060459,2.664109
14,4,-1.160611,2.9076877
14,5,-1.2476285,2.247412
15,1,0.569835,2.5752952
15,3,-0.8950248,2.1901858
15,4,0.15074666,2.2415774
15,5,0.85426086,2.4825497
16,1,-0.5828695,-5.8005443
16,3,-0.9327719,-6.1341844
16,4,-0.5246413,-6.030423
16,5,-0.65941685,-5.9060836
17,1,-1.883933,2.8910534
17,3,-1.6866316,2.586076
17,4,-1.6227803,3.6221578
17,5,-0.8214573,3.9217567
18,1,-1.5769875,2.3147
18,3,-1.5785674,2.712755
18,4,-1.3053079,3.4427414
18,5,-0.5154052,4.0145993
19,1,0.5482248,3.889682
19,3,0.31910387,4.3235474
19,4,0.38882828,4.0668464
19,5,0.21127453,4.3276596
20,1,7.528515,3.3766232
20,3,7.1164565,3.396434
20,4,7.1813135,3.561596
20,5,7.495007,3.6620457
21,1,0.6538216,-6.0850334
21,3,0.69834846,-6.5497746
21,4,0.58584344,-5.791935
21,5,0.73335797,-6.175632
22,1,0.77961344,-5.8559284
22,3,1.2208198,-6.0167756
22,4,1.1411673,-5.5459323
22,5,1.1406676,-5.842861
23,1,-0.13336833,-6.892371
23,3,-0.40287292,-6.6263533
23,4,-0.060903423,-6.4438663
23,5,0.058070894,-6.582168
24,1,1.2959024,4.0857053
24,3,1.2151994,3.6295729
24,4,1.1524081,4.0664377
24,5,1.3604616,3.86404
