,f_id,i_id,true,predicted,treshold_true,label_true,percentage_change_predicted,threshold_predicted,label_predicted,label
0,1,2,0.0015174206772425,-0.0093628777553536,1.0929298293287064,good,717.0258449600204,5,poor,"good, poor"
1,2,2,0.3973067152847547,1.254364320137574,1.0929298293287064,good,215.71686857559288,5,poor,"good, poor"
2,3,2,1.6107307981167185,2.102562811404301,1.0929298293287064,poor,30.534712185464947,5,poor,"poor, poor"
3,4,2,1.7100774023968852,2.1913635849570205,1.0929298293287064,poor,28.144116861935792,5,poor,"poor, poor"
4,5,2,0.1379758681969355,0.2129611230710819,1.0929298293287064,good,54.34664470972458,5,poor,"good, poor"
5,6,2,1.4949761625835587,1.6118817192828634,1.0929298293287064,poor,7.819894365223398,5,poor,"poor, poor"
6,7,2,1.2661697139168584,0.9909299540136594,1.0929298293287064,poor,21.73798321646417,5,poor,"poor, poor"
7,8,2,1.7124470310317932,1.7394064149507418,1.0929298293287064,poor,1.5743192887376416,5,good,"poor, good"
8,9,2,2.512130428118659,2.384864279402656,1.0929298293287064,poor,5.066064535960941,5,poor,"poor, poor"
9,10,2,4.331770438902518,3.63881506590386,1.0929298293287064,poor,15.997047460673436,5,poor,"poor, poor"
10,11,2,2.0568599647335564,1.509243998987185,1.0929298293287064,poor,26.62388179728652,5,poor,"poor, poor"
11,12,2,4.721601660519329,4.367715221213505,1.0929298293287064,poor,7.495050721133895,5,poor,"poor, poor"
12,13,2,1.7926599435692214,0.6809630258900286,1.0929298293287064,poor,62.01382039394389,5,poor,"poor, poor"
13,14,2,0.040609714225661,0.3686552554321183,1.0929298293287064,good,807.8006641060467,5,poor,"good, poor"
14,15,2,1.799601977541391,1.8002457872140674,1.0929298293287064,poor,0.03577511475931917,5,good,"poor, good"
15,16,2,1.0966117333816805,1.00046286732076,1.0929298293287064,poor,8.76781299470698,5,poor,"poor, poor"
16,17,2,0.6153202083296939,0.7880415095378268,1.0929298293287064,good,28.070149309249942,5,poor,"good, poor"
17,18,2,1.094557464902696,0.9507358276722688,1.0929298293287064,poor,13.139706396613224,5,poor,"poor, poor"
18,19,2,0.803341191736551,0.9119456912180026,1.0929298293287064,good,13.519100053451199,5,poor,"good, poor"
19,20,2,0.5269945089584078,0.7250451488401191,1.0929298293287064,good,37.58115815535795,5,poor,"good, poor"
20,21,2,0.9006819678180213,0.9460180676972744,1.0929298293287064,good,5.033530313600435,5,poor,"good, poor"
21,22,2,0.5892831424895728,0.8363190783089991,1.0929298293287064,good,41.92143267084846,5,poor,"good, poor"
22,23,2,0.445289111142353,0.5492868591329974,1.0929298293287064,good,23.355106915560235,5,poor,"good, poor"
23,24,2,1.89867803959004,1.824024341019672,1.0929298293287064,poor,3.9318777072118665,5,good,"poor, good"
