f_id,i_id,dim0,dim1
1,1,8.436771,5.8895454
1,2,7.9788275,6.284963
1,3,7.914139,6.5193233
1,5,8.258794,5.948222
2,1,2.035959,-0.01132302
2,2,1.8431044,0.09988202
2,3,2.2168207,-0.44644344
2,5,2.1563182,-0.20157647
3,1,10.160378,5.7588215
3,2,5.2242155,5.8649054
3,3,5.4965534,6.25177
3,5,9.907943,5.6060405
4,1,5.1925144,5.2697334
4,2,5.552886,5.642855
4,3,5.319035,5.5218616
4,5,5.0056386,5.4638925
5,1,7.4665985,7.5109296
5,2,7.1192813,7.507771
5,3,7.312131,7.729844
5,5,7.075095,7.425059
6,1,2.3311393,-1.0861753
6,2,2.3568943,-1.395741
6,3,2.6462152,-1.3380263
6,5,2.4649093,-1.1533474
7,1,4.6254187,2.1854095
7,2,4.629857,1.73672
7,3,5.047881,1.8249371
7,5,4.8568363,2.1620514
8,1,3.230238,-2.6039648
8,2,3.0916054,-2.6890523
8,3,3.4789708,-2.3717546
8,5,3.0973659,-2.1660018
9,1,2.7021017,-2.8203423
9,2,2.8291101,-2.3937624
9,3,2.5113573,-2.4655979
9,5,2.5253596,-2.7199347
10,1,1.4518197,-1.1725947
10,2,1.019598,-0.73975205
10,3,0.93354654,-0.96588385
10,5,1.0782154,-1.2141825
11,1,1.39977,-0.42865545
11,2,1.6136148,-0.6330596
11,3,1.161252,-0.88255143
11,5,1.2132831,-0.3203973
12,1,1.9842439,-2.2844553
12,2,1.7233831,-2.1969903
12,3,1.7262552,-2.4530017
12,5,1.7788305,-2.5155916
13,1,7.713497,6.4257627
13,2,7.777978,6.1477365
13,3,9.764461,5.4630322
13,5,10.264656,5.382818
14,1,6.5576167,6.931065
14,2,6.357854,7.276762
14,3,6.8306756,6.339327
14,5,6.1602488,7.170093
15,1,9.594618,6.2788243
15,2,6.1736817,6.478756
15,3,6.035544,6.6826844
15,5,9.479651,6.5322742
16,1,-6.434537,0.83001304
16,2,-6.563499,1.1551056
16,3,-6.8106656,1.1048607
16,5,-6.6500316,0.9571594
17,1,6.0339766,7.300847
17,2,8.887159,7.310101
17,3,6.837039,7.445187
17,5,9.154101,7.354339
18,1,5.844865,6.98991
18,2,9.09791,7.122968
18,3,6.8778644,6.96524
18,5,9.162723,7.070782
19,1,9.95542,6.9677496
19,2,10.146954,6.927091
19,3,10.117574,6.6502757
19,5,9.932447,6.746216
20,1,3.683653,-1.7833825
20,2,3.670803,-1.542169
20,3,3.825133,-1.9487628
20,5,3.8324466,-1.6625037
21,1,-6.977289,-0.26449952
21,2,-6.6607437,-0.093893446
21,3,-6.507539,-0.5835283
21,5,-6.9129887,-0.33803606
22,1,-6.200813,-0.6650929
22,2,-6.3105836,-0.14912422
22,3,-5.9750595,-0.2748657
22,5,-6.1442227,-0.3327786
23,1,-7.439703,0.3312994
23,2,-7.273046,0.55618525
23,3,-7.0689054,0.300781
23,5,-7.1978884,0.36575377
24,1,10.434789,6.184657
24,2,10.499183,5.790262
24,3,10.15955,6.149391
24,5,10.543915,6.196508
