,f_id,i_id,true,predicted,treshold_true,label_true,percentage_change_predicted,threshold_predicted,label_predicted,label
0,1,2,0.0015174206772425,0.002805601106521,1.0929298293287064,good,84.89276893335987,5,poor,"good, poor"
1,2,2,0.3973067152847547,1.0748642861599251,1.0929298293287064,good,170.53765889397476,5,poor,"good, poor"
2,3,2,1.6107307981167185,1.627413632376001,1.0929298293287064,poor,1.035730755181942,5,good,"poor, good"
3,4,2,1.7100774023968852,1.627413632376001,1.0929298293287064,poor,4.833919792462073,5,good,"poor, good"
4,5,2,0.1379758681969355,0.1510178340106233,1.0929298293287064,good,9.452352780322979,5,poor,"good, poor"
5,6,2,1.4949761625835587,1.4192248246462196,1.0929298293287064,poor,5.067059919298556,5,poor,"poor, poor"
6,7,2,1.2661697139168584,1.1496851967527817,1.0929298293287064,poor,9.199755442241255,5,poor,"poor, poor"
7,8,2,1.7124470310317932,1.849787180863073,1.0929298293287064,poor,8.020110832189005,5,poor,"poor, poor"
8,9,2,2.512130428118659,2.524498569908433,1.0929298293287064,poor,0.49233676927500014,5,good,"poor, good"
9,10,2,4.331770438902518,4.395678213295776,1.0929298293287064,poor,1.4753268968114985,5,good,"poor, good"
10,11,2,2.0568599647335564,2.084495963428552,1.0929298293287064,poor,1.3436013714514399,5,good,"poor, good"
11,12,2,4.721601660519329,5.260867278378695,1.0929298293287064,poor,11.421243396463328,5,poor,"poor, poor"
12,13,2,1.7926599435692214,1.007917370174733,1.0929298293287064,poor,43.77531702036307,5,poor,"poor, poor"
13,14,2,0.040609714225661,0.0299222450441033,1.0929298293287064,good,26.317518813772793,5,poor,"good, poor"
14,15,2,1.799601977541391,0.9517197973134492,1.0929298293287064,poor,47.11498380249142,5,poor,"poor, poor"
15,16,2,1.0966117333816805,1.0913771672739123,1.0929298293287064,poor,0.4773399689629498,5,good,"poor, good"
16,17,2,0.6153202083296939,0.6697733476865586,1.0929298293287064,good,8.84956135353972,5,poor,"good, poor"
17,18,2,1.094557464902696,0.6697733476865586,1.0929298293287064,poor,38.808754299062755,5,poor,"poor, poor"
18,19,2,0.803341191736551,0.8084004486235042,1.0929298293287064,good,0.6297768543421498,5,good,"good, good"
19,20,2,0.5269945089584078,0.5366580137930403,1.0929298293287064,good,1.8337012379374136,5,good,"good, good"
20,21,2,0.9006819678180213,1.0519718439022725,1.0929298293287064,good,16.797258243191404,5,poor,"good, poor"
21,22,2,0.5892831424895728,0.8428730636171848,1.0929298293287064,good,43.033628971000006,5,poor,"good, poor"
22,23,2,0.445289111142353,0.4640064831854047,1.0929298293287064,good,4.203420109473111,5,good,"good, good"
23,24,2,1.89867803959004,1.9144466027585825,1.0929298293287064,poor,0.8305022146854977,5,good,"poor, good"
