f_id,i_id,dim0,dim1
1,2,-0.7225852,12.7045965
1,3,-0.97283715,12.253777
1,4,-0.80651104,12.542296
1,5,-1.2610719,12.35996
2,2,-4.686506,16.97791
2,3,-4.6886687,17.822268
2,4,-5.0899787,17.652948
2,5,-4.9317384,17.590263
3,2,3.1165047,5.2449174
3,3,3.0937517,4.7919064
3,4,3.6457362,5.0399303
3,5,6.022601,-0.45352605
4,2,3.3059669,4.675578
4,3,3.475871,5.253644
4,4,3.8378046,4.847745
4,5,3.3330352,5.0474687
5,2,-1.6622837,13.832169
5,3,-1.345122,13.435589
5,4,-1.6368436,13.430197
5,5,-1.4649433,13.547797
6,2,-4.6070147,19.906506
6,3,-4.7204895,20.054266
6,4,-4.2409887,20.251741
6,5,-4.550384,20.123928
7,2,2.0889783,13.15588
7,3,0.4105615,12.192955
7,4,6.5824223,0.77884614
7,5,2.0668285,13.339054
8,2,-4.035849,19.540129
8,3,-4.2241344,19.677662
8,4,-3.7052698,19.642624
8,5,-4.1756577,19.694994
9,2,-4.4939737,19.063396
9,3,-4.2507067,18.748154
9,4,-4.076546,18.951422
9,5,-4.3936405,18.361586
10,2,-4.122218,18.420496
10,3,-5.0340333,18.801756
10,4,-4.6270156,18.538008
10,5,-5.2264857,18.898432
11,2,-5.292071,18.63535
11,3,-4.8525195,18.95914
11,4,-4.6340766,19.43421
11,5,-5.135891,18.976677
12,2,-3.616895,18.29075
12,3,-3.3095262,18.567347
12,4,-3.2842968,18.21046
12,5,-3.1286829,18.146791
13,2,-1.7815928,12.454791
13,3,6.551156,-0.07505779
13,4,6.547276,-0.18355013
13,5,6.0903454,-0.19370851
14,2,-0.043519434,12.752137
14,3,0.34454462,12.783476
14,4,0.23944892,12.379168
14,5,0.030690927,12.816311
15,2,1.2481986,13.299313
15,3,1.2827429,13.823012
15,4,6.264489,-0.45067838
15,5,5.8610563,-0.37536323
16,2,2.9343266,11.780719
16,3,2.670085,11.601574
16,4,2.8083956,11.500345
16,5,2.6203616,11.384335
17,2,2.3195834,12.55762
17,3,1.1365639,12.027468
17,4,2.6000705,13.017291
17,5,2.287526,12.563628
18,2,2.142785,12.774201
18,3,0.5814005,11.929828
18,4,1.9671241,12.345626
18,5,2.35804,12.134375
19,2,3.5758038,13.098876
19,3,3.2224827,12.866203
19,4,3.310897,12.850004
19,5,3.6073487,13.227364
20,2,-1.9040296,12.900437
20,3,-1.9778807,12.828797
20,4,-2.1751294,12.933498
20,5,-2.064776,12.698372
21,2,1.6896015,11.9611635
21,3,2.159123,11.819894
21,4,2.0790112,11.792743
21,5,2.4741654,12.232768
22,2,0.9003219,12.83227
22,3,1.1693856,12.462608
22,4,1.371213,12.6190605
22,5,1.3247731,12.732418
23,2,1.2236496,10.703867
23,3,0.9409469,10.631261
23,4,1.1909397,10.70951
23,5,1.0544245,10.825325
24,2,6.7830205,0.5427351
24,3,6.3735805,0.6957902
24,4,6.338972,0.39633572
24,5,6.5397477,0.41908285
