f_id,i_id,dim0,dim1
1,1,0.71223766,7.2085266
1,3,1.2927977,7.1685257
1,4,1.0519136,6.886289
1,5,0.9560044,7.0281677
2,1,-0.34141678,8.629048
2,3,-0.5410594,8.969547
2,4,-0.449863,8.409325
2,5,-0.79472893,8.717385
3,1,1.3525599,5.1398363
3,3,1.639659,7.516559
3,4,0.86121154,6.496746
3,5,1.8186057,5.234725
4,1,0.7731211,5.3214417
4,3,0.31637704,6.1783743
4,4,0.23333514,6.0685167
4,5,0.4576195,5.6815867
5,1,3.3515882,7.5904417
5,3,3.3165724,7.9388394
5,4,3.1309483,7.7863965
5,5,3.539752,7.77778
6,1,0.56744945,8.5763235
6,3,0.27732077,8.4049
6,4,0.16277777,8.933598
6,5,0.37990004,8.909714
7,1,2.6436584,7.4313555
7,3,3.6871738,5.8058653
7,4,3.36632,6.206123
7,5,2.920277,6.9209223
8,1,1.2476327,5.55682
8,3,0.1318325,6.7704983
8,4,1.5636643,5.827697
8,5,0.57878387,6.716181
9,1,5.9737554,3.774338
9,3,6.009588,3.4556906
9,4,5.6826506,3.8436716
9,5,5.796018,3.6625285
10,1,-1.2381365,8.281016
10,3,-1.3525325,7.5519867
10,4,-1.3106408,8.147443
10,5,-1.509121,7.6584573
11,1,-1.4259392,7.185525
11,3,-1.5575236,8.040272
11,4,-0.9825184,7.943958
11,5,-1.1658156,7.1890025
12,1,1.0620639,9.69845
12,3,0.73328537,9.565517
12,4,0.63849044,9.455864
12,5,0.9197997,9.50147
13,1,1.6970239,6.901779
13,3,3.0564086,5.8100815
13,4,2.7599885,5.6571126
13,5,2.9579878,5.2398005
14,1,2.5560193,7.341555
14,3,3.2353396,6.196648
14,4,3.1437879,6.4640007
14,5,2.38848,7.6419106
15,1,2.4950132,5.3486466
15,3,2.330922,6.5678086
15,4,2.3488402,5.916332
15,5,3.1122854,4.9436054
16,1,7.9295173,12.806078
16,3,7.7555704,12.574395
16,4,7.6115246,13.001306
16,5,7.695522,12.846988
17,1,2.9705842,8.667687
17,3,2.7799213,8.115952
17,4,6.462707,12.087099
17,5,6.051417,12.369118
18,1,2.4780247,8.55488
18,3,3.0829961,8.456298
18,4,6.1436367,11.898177
18,5,6.063649,12.578778
19,1,5.381108,3.3573742
19,3,5.1386695,3.5664973
19,4,5.2526608,3.400443
19,5,5.340151,3.7625895
20,1,0.4457869,7.589912
20,3,0.09594162,7.1189556
20,4,0.19104975,7.3707814
20,5,0.3091437,7.415764
21,1,6.274816,13.18733
21,3,6.3397565,12.799431
21,4,6.177487,13.00729
21,5,6.0799656,13.175172
22,1,6.5762324,13.356548
22,3,6.6701856,13.663372
22,4,6.4741373,13.739795
22,5,6.1920156,13.613335
23,1,7.25689,13.309588
23,3,7.077507,12.961051
23,4,7.381663,13.195346
23,5,7.031813,13.196651
24,1,4.834346,4.3116226
24,3,4.6383777,4.072332
24,4,4.594904,4.2087274
24,5,4.965373,4.427054
