f_id,i_id,dim0,dim1
1,1,-1.7893184,-7.0932007
1,2,-0.8155601,-7.076442
1,4,-1.4082655,-7.0581465
1,5,-1.5018265,-7.252089
2,1,15.355578,13.317515
2,2,15.1562195,13.199257
2,4,15.716616,14.024334
2,5,15.617944,13.505587
3,1,10.407532,11.679035
3,2,12.327196,12.355898
3,4,-0.6648467,-7.855772
3,5,10.548092,12.14801
4,1,10.987317,12.5315075
4,2,12.152004,12.42816
4,4,11.73384,12.448475
4,5,11.957221,12.135824
5,1,-0.8364975,-6.0219007
5,2,-0.4169149,-5.763317
5,4,-0.5060278,-5.7573347
5,5,-0.36625335,-6.020946
6,1,13.765836,13.69802
6,2,13.990644,14.055468
6,4,13.599163,14.057446
6,5,13.931362,14.018176
7,1,-0.04790492,-6.571675
7,2,-0.33048576,-6.786263
7,4,9.693455,12.256361
7,5,-0.63862747,-6.3611836
8,1,13.557312,14.266903
8,2,13.063406,14.112485
8,4,13.074097,13.92812
8,5,13.384206,13.677777
9,1,14.585767,13.814747
9,2,14.580898,14.389381
9,4,14.239001,14.186211
9,5,14.736207,14.192661
10,1,15.625345,15.059753
10,2,15.818854,14.885024
10,4,15.66578,14.7363825
10,5,15.6413555,14.209293
11,1,15.155447,14.641352
11,2,15.184967,14.710669
11,4,15.273761,14.111067
11,5,15.358125,14.424365
12,1,16.483343,14.554659
12,2,16.43158,14.689354
12,4,16.301786,14.306369
12,5,16.495354,14.24461
13,1,11.615861,12.869667
13,2,12.003453,13.058369
13,4,10.620864,12.064469
13,5,10.193061,12.179924
14,1,-0.42472407,-8.026154
14,2,-0.2711515,-7.574719
14,4,0.4515641,-7.420118
14,5,-0.20313978,-7.8059487
15,1,9.961642,11.897864
15,2,0.52525795,-7.3849893
15,4,10.163709,12.4534645
15,5,10.135917,12.393652
16,1,19.617033,3.3146214
16,2,19.096806,3.1795745
16,4,19.441427,2.9927304
16,5,19.327915,3.1469986
17,1,0.16082485,-7.9037786
17,2,1.2761524,-7.7037077
17,4,1.0787746,-7.283751
17,5,0.85324526,-7.7273
18,1,0.43006217,-8.057449
18,2,0.9410968,-7.222446
18,4,1.2724426,-7.492131
18,5,0.97026724,-7.8650966
19,1,1.227001,-8.877919
19,2,0.92214,-9.021051
19,4,1.0216786,-9.118368
19,5,1.0864134,-9.051745
20,1,-2.0232086,-6.412422
20,2,-1.9309901,-6.7458644
20,4,-1.9453437,-6.53075
20,5,-1.6800293,-6.566252
21,1,2.7203891,-9.692372
21,2,2.4961665,-9.683595
21,4,2.3641882,-9.873996
21,5,2.7739246,-9.5421295
22,1,2.1459527,-9.215297
22,2,2.4587247,-8.955117
22,4,2.5253649,-9.352808
22,5,2.3744683,-9.219522
23,1,19.339697,3.4684203
23,2,19.138409,3.4262388
23,4,19.024868,2.8824184
23,5,18.922934,3.3009493
24,1,11.023998,11.434477
24,2,11.481862,11.313491
24,4,11.403306,11.716844
24,5,11.277149,11.616836
