f_id,i_id,dim0,dim1
1,1,9.384137,-0.6162795
2,1,11.336153,9.3307705
3,1,10.72599,6.0201817
4,1,11.783765,7.4314313
5,1,11.671614,-1.684862
6,1,9.117418,12.912389
7,1,9.815513,-3.6021543
8,1,9.005522,12.238481
9,1,8.958437,11.932536
10,1,8.911328,11.653764
11,1,11.272042,11.660025
12,1,9.416929,9.982232
13,1,8.938372,0.080064744
14,1,9.624715,-3.702222
15,1,10.435332,-3.126667
16,1,4.8666987,-4.6205544
17,1,7.633327,-2.3490834
18,1,7.745583,-2.3020484
19,1,7.969142,-3.6424463
20,1,11.879668,0.041497506
21,1,6.1374564,-2.0271688
22,1,7.286073,-1.7026948
23,1,5.63737,-4.579652
24,1,11.566356,4.8429775
