f_id,i_id,dim0,dim1
1,3,6.523239,18.733
2,3,12.709684,10.135925
3,3,4.5651073,17.723665
4,3,6.176081,16.601496
5,3,5.2145467,18.925991
6,3,12.876193,8.037128
7,3,-6.1765075,15.422461
8,3,11.783502,8.539902
9,3,16.39454,8.918154
10,3,15.05279,9.976685
11,3,14.37059,9.482678
12,3,13.983133,8.233781
13,3,-6.098905,14.814066
14,3,-6.3607497,16.328432
15,3,-5.115115,17.867924
16,3,-2.7051802,7.6481647
17,3,5.9422536,18.753506
18,3,6.7029223,16.911768
19,3,-5.1461935,12.879252
20,3,12.000021,8.29287
21,3,-3.0178175,9.64846
22,3,-4.56363,9.5921335
23,3,-3.2571445,8.007851
24,3,-4.4738345,14.004347
