f_id,i_id,dim0,dim1
1,1,14.3819895,2.3743029
1,2,14.658859,2.1728206
1,3,14.631562,1.9403358
1,5,14.833806,1.9129963
2,1,14.16318,-0.0038963195
2,2,13.948732,0.18742949
2,3,14.226799,0.32245952
2,5,14.04674,0.20794812
3,1,-3.9871287,7.4123325
3,2,-5.136299,7.8094687
3,3,-3.8422399,8.257496
3,5,-4.3944764,7.6299176
4,1,-4.2763124,6.7248516
4,2,-4.159875,7.2808347
4,3,-4.310944,7.1344824
4,5,-3.8884692,6.969886
5,1,14.956602,2.853595
5,2,15.231956,2.7080963
5,3,15.19258,2.4646537
5,5,14.953227,2.43668
6,1,13.430081,-1.0557216
6,2,13.191236,-0.8519327
6,3,12.462953,-1.1010343
6,5,13.263944,-1.2132404
7,1,13.741148,-0.8789327
7,2,14.209494,-1.2188647
7,3,14.500482,-1.3254458
7,5,14.257714,-1.0049326
8,1,-4.2797294,8.139294
8,2,-4.343716,7.940324
8,3,-4.1301403,7.8637247
8,5,-3.8817713,8.061026
9,1,-2.0850723,6.3276753
9,2,-2.0769365,5.8293877
9,3,-2.2841563,6.10053
9,5,-1.88158,6.13137
10,1,10.956197,-0.39736402
10,2,10.616556,-0.5110626
10,3,10.485569,-0.34093493
10,5,10.590489,-0.07492111
11,1,10.746084,0.105675444
11,2,11.050083,0.17663062
11,3,10.80247,-0.60616446
11,5,11.068695,-0.06717568
12,1,11.624645,-1.0345457
12,2,11.746681,-1.3707494
12,3,11.9045,-1.18062
12,5,11.4079275,-1.2408372
13,1,-5.183513,7.679463
13,2,-4.970396,7.957779
13,3,-5.3190613,7.4321876
13,5,-4.592202,6.991621
14,1,13.366572,-1.6616923
14,2,13.560755,-1.3800297
14,3,14.374142,-2.115931
14,5,13.213318,-1.5568744
15,1,-3.4896355,5.1217647
15,2,-3.5868168,5.1706686
15,3,-3.2358105,4.8073797
15,5,-3.228892,4.753149
16,1,-1.1346052,5.415408
16,2,-1.4304929,5.553181
16,3,-1.4252496,5.8850303
16,5,-1.0592105,5.690327
17,1,13.764106,-2.2079434
17,2,14.088175,-2.8237283
17,3,14.141823,-2.1894107
17,5,14.325021,-2.7203193
18,1,13.4118805,-1.8891513
18,2,14.547025,-2.638644
18,3,13.717525,-1.5646446
18,5,14.353918,-2.883847
19,1,1.6796296,3.5603375
19,2,2.053894,3.9046237
19,3,1.9176878,3.8239417
19,5,1.8873955,3.7908237
20,1,14.792019,1.4413958
20,2,14.667526,1.2735146
20,3,14.962699,1.2008939
20,5,14.480943,1.4842691
21,1,2.1056151,5.079118
21,2,1.8275417,4.7346225
21,3,1.6469107,4.9769306
21,5,1.5983946,5.2658296
22,1,1.3999197,5.1225376
22,2,1.0145916,4.9273367
22,3,1.7312652,5.087476
22,5,0.6895385,4.9895406
23,1,1.4072087,4.4131002
23,2,1.3087767,4.5239983
23,3,1.0580345,4.326687
23,5,1.1541203,4.6484313
24,1,-2.8146312,5.1454387
24,2,-2.7387445,4.875892
24,3,-2.679086,5.3324056
24,5,-3.0716228,5.338281
