,f_id,i_id,true,predicted,treshold_true,label_true,percentage_change_predicted,threshold_predicted,label_predicted,label
0,1,5,0.4010220027723363,0.3749343025974976,1.4719857150575724,good,6.505303947037766,15,good,"good, good"
1,2,5,3.8886643340601,3.725292858581185,1.4719857150575724,poor,4.20122338788602,15,good,"poor, good"
2,3,5,1.6523173662317867,1.948099765895517,1.4719857150575724,poor,17.90106463253368,15,poor,"poor, poor"
3,4,5,1.8110695354247688,1.7000264509696206,1.4719857150575724,poor,6.131354002876766,15,good,"poor, good"
4,5,5,1.0504562462973257,0.921538227130796,1.4719857150575724,good,12.272573905000147,15,good,"good, good"
5,6,5,1.7004953038873554,1.7085290313878647,1.4719857150575724,poor,0.47243455963354536,15,good,"poor, good"
6,7,5,1.2772510915793267,1.415522160137438,1.4719857150575724,good,10.825676287905022,15,good,"good, good"
7,8,5,2.4586828973694086,2.078631499211109,1.4719857150575724,poor,15.457519900794193,15,poor,"poor, poor"
8,9,5,2.275319653581437,2.0865403838350773,1.4719857150575724,poor,8.296824116524206,15,good,"poor, good"
9,10,5,3.813652916666384,2.856752397283428,1.4719857150575724,poor,25.09144225477677,15,poor,"poor, poor"
10,11,5,1.777731707826615,1.6574729390350444,1.4719857150575724,poor,6.764731048117167,15,good,"poor, good"
11,12,5,5.739949648301136,5.828396070440244,1.4719857150575724,poor,1.5408919512958874,15,good,"poor, good"
12,13,5,2.3096756298077903,2.145796348642933,1.4719857150575724,poor,7.095337503236124,15,good,"poor, good"
13,14,5,0.4224669595579789,0.8182228041635384,1.4719857150575724,good,93.67734816934161,15,poor,"good, poor"
14,15,5,1.6484166433936511,1.889778638051317,1.4719857150575724,poor,14.64205033508797,15,good,"poor, good"
15,16,5,0.5260500219953667,0.5244580726256961,1.4719857150575724,good,0.3026231923025326,15,good,"good, good"
16,17,5,0.396804379721481,0.6555567585607598,1.4719857150575724,good,65.20905314122247,15,poor,"good, poor"
17,18,5,0.7777547252383062,0.7360722363531452,1.4719857150575724,good,5.359335987626354,15,good,"good, good"
18,19,5,0.6182661202560122,0.575115581742704,1.4719857150575724,good,6.979282399533776,15,good,"good, good"
19,20,5,0.4226460869702329,0.6152935379800039,1.4719857150575724,good,45.58126928153463,15,poor,"good, poor"
20,21,5,0.9869408019913892,0.7411685710358278,1.4719857150575724,good,24.902428844734878,15,poor,"good, poor"
21,22,5,1.002700770518086,0.978936573943242,1.4719857150575724,good,2.370018780634349,15,good,"good, good"
22,23,5,0.4796852438756417,0.4907102136073695,1.4719857150575724,good,2.298375835506419,15,good,"good, good"
23,24,5,1.7405794327056736,1.6994308325989795,1.4719857150575724,poor,2.3640748209192575,15,good,"poor, good"
