f_id,i_id,dim0,dim1
1,1,6.4468966,8.818182
1,2,6.223225,8.579721
1,3,6.097806,8.50182
1,5,6.3632946,8.471479
2,1,6.376771,-11.865268
2,2,6.6342278,-11.405588
2,3,6.2380557,-11.551984
2,5,6.491363,-11.6856
3,1,16.318033,7.120193
3,2,15.401675,9.991194
3,3,15.605668,10.027736
3,5,16.475454,7.21133
4,1,15.973042,9.011978
4,2,15.488788,9.314043
4,3,15.730399,9.541081
4,5,16.126,9.192139
5,1,25.479387,-11.731569
5,2,25.566298,-11.96924
5,3,25.111631,-11.930488
5,5,25.160543,-11.861256
6,1,15.232505,10.121439
6,2,15.749781,10.385296
6,3,15.164303,9.395973
6,5,15.352461,9.417817
7,1,16.086926,11.019668
7,2,16.331476,11.290223
7,3,16.105429,10.865053
7,5,16.343128,10.956889
8,1,16.020119,4.692698
8,2,16.283796,4.275312
8,3,17.04365,4.4337244
8,5,16.630148,4.5309463
9,1,16.282211,4.059257
9,2,16.585272,3.9916916
9,3,16.794329,3.9261303
9,5,16.59877,3.8669424
10,1,7.2596345,-11.833823
10,2,6.7967367,-11.867838
10,3,6.979743,-11.617421
10,5,6.977414,-11.37298
11,1,14.843651,9.973109
11,2,15.145738,10.441544
11,3,7.1501904,-12.5213785
11,5,15.087918,9.892481
12,1,6.8351817,-12.496584
12,2,7.177847,-12.4077425
12,3,6.6714354,-12.314853
12,5,6.8528423,-12.406918
13,1,16.67913,4.970503
13,2,16.489426,4.882807
13,3,16.716331,4.443937
13,5,16.739727,4.464928
14,1,4.3822236,7.913205
14,2,4.412718,7.9911857
14,3,4.6711946,8.033694
14,5,4.2317295,7.7193675
15,1,16.412182,9.174429
15,2,16.32594,9.882444
15,3,15.946525,9.915999
15,5,16.277107,8.591301
16,1,6.482388,7.1195765
16,2,6.099648,7.6941333
16,3,6.5415373,7.3661647
16,5,6.6587253,7.485267
17,1,5.1120677,8.429856
17,2,5.2862563,8.2688265
17,3,4.7895927,7.849481
17,5,5.472669,8.019411
18,1,16.484058,9.929161
18,2,5.228527,8.026811
18,3,5.246031,7.2301316
18,5,5.4782147,7.4418154
19,1,4.985494,6.770376
19,2,4.9516983,6.8432117
19,3,4.7386103,6.7345376
19,5,4.71133,7.067076
20,1,17.497065,11.979867
20,2,17.258738,11.748826
20,3,17.147236,11.609317
20,5,17.071058,11.560674
21,1,24.615732,-13.073436
21,2,24.660769,-12.499279
21,3,24.915297,-12.922559
21,5,25.131008,-12.855719
22,1,24.751507,-12.83665
22,2,24.540491,-12.456259
22,3,24.984571,-12.592904
22,5,25.073862,-12.699629
23,1,6.1266713,6.8279877
23,2,6.0490375,7.101649
23,3,6.234277,7.4800353
23,5,5.814359,7.250682
24,1,16.17462,7.502002
24,2,16.764221,7.411474
24,3,16.675367,7.613359
24,5,16.51264,7.4876304
