f_id,i_id,disp.diff_mean_02,disp.diff_mean_05,disp.diff_mean_10,disp.diff_mean_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_10,disp.diff_median_25,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_mean_10,disp.ratio_mean_25,disp.ratio_median_02,disp.ratio_median_05,disp.ratio_median_10,disp.ratio_median_25,ela_distr.kurtosis,ela_distr.number_of_peaks,ela_distr.skewness,ela_level.lda_mda_10,ela_level.lda_mda_25,ela_level.lda_mda_50,ela_level.lda_qda_10,ela_level.lda_qda_25,ela_level.lda_qda_50,ela_level.mmce_lda_10,ela_level.mmce_lda_25,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_level.mmce_mda_25,ela_level.mmce_mda_50,ela_level.mmce_qda_10,ela_level.mmce_qda_25,ela_level.mmce_qda_50,ela_level.qda_mda_10,ela_level.qda_mda_25,ela_level.qda_mda_50,ela_meta.lin_simple.adj_r2,ela_meta.lin_simple.coef.max,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_simple.coef.min,ela_meta.lin_simple.intercept,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ela_meta.quad_simple.cond,ela_meta.quad_w_interact.adj_r2,ic.eps.max,ic.eps.ratio,ic.eps.s,ic.h.max,ic.m0,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,nbc.nn_nb.cor,nbc.nn_nb.mean_ratio,nbc.nn_nb.sd_ratio,pca.expl_var.cor_init,pca.expl_var.cor_x,pca.expl_var.cov_init,pca.expl_var.cov_x,pca.expl_var_PC1.cor_init,pca.expl_var_PC1.cor_x,pca.expl_var_PC1.cov_init,pca.expl_var_PC1.cov_x
1,1,-4.7518,-3.9226,-3.20995,-2.1731,-4.7158999999999995,-3.87465,-3.16255,-2.12685,0.6248499999999999,0.69035,0.74655,0.82845,0.6283000000000001,0.69455,0.75075,0.8323499999999999,0.11374999999999999,1.0,0.4477,1.0658500000000002,1.1033499999999998,1.0711499999999998,1.4738,1.53045,1.4447999999999999,0.09914999999999999,0.18765,0.2224,0.093,0.17035,0.2061,0.06739999999999999,0.12385,0.15205000000000002,0.7283999999999999,0.7232000000000001,0.7379,0.5742499999999999,6.06665,67.27725,0.09385,187.8498,0.5804499999999999,1.0,1.0,1.0,2.789,0.6657,1.2062,0.8404,0.54785,0.05235,-0.42155,0.134,0.9741,0.1451,0.8182,0.9,0.0909,0.9,0.16085,0.1202,0.94845,0.1202
1,2,-4.2456499999999995,-3.43425,-2.7328,-1.75935,-4.23395,-3.4177,-2.70775,-1.7454,0.6648000000000001,0.7289,0.78425,0.8611,0.66635,0.73065,0.78655,0.8624499999999999,-0.03325,1.0,0.33,1.1073,1.1024,1.04245,1.5236,1.3888500000000001,1.26505,0.0665,0.1112,0.13315,0.0605,0.1014,0.12735000000000002,0.043800000000000006,0.0797,0.1054,0.72565,0.7992,0.8212999999999999,0.8277,7.9892,7.3811,1.08965,567.2103,0.8301499999999999,1.0,1.0,1.0,3.5119,0.7658,1.3063,0.8322,0.5338,0.0589,-0.36765000000000003,0.11754999999999999,0.9688,0.12775,0.8182,0.9,0.0909,0.9,0.1754,0.11954999999999999,0.9792,0.11954999999999999
1,3,-4.279450000000001,-3.424,-2.7664,-1.79855,-4.273899999999999,-3.40645,-2.7426,-1.77625,0.6622,0.7297,0.7816000000000001,0.85805,0.6633,0.7316,0.7839,0.85995,-0.04035,1.0,0.3399,1.0949499999999999,1.0975,1.0467,1.5394999999999999,1.40375,1.27225,0.0712,0.1192,0.1431,0.06525,0.10925,0.1357,0.046450000000000005,0.08475,0.1119,0.7229,0.7738,0.8269,0.81025,7.99635,42.3616,0.1846,-86.5577,0.81325,1.0,1.0,1.0,3.3537,0.7457,1.2863,0.83375,0.53585,0.0584,-0.3707,0.11695,0.9693,0.1283,0.8182,0.9,0.0909,0.9,0.17465,0.12045,0.97665,0.12045
1,4,-4.47705,-3.62405,-2.9039,-1.9308999999999998,-4.44745,-3.5934,-2.8682499999999997,-1.89785,0.64655,0.71385,0.77075,0.84755,0.64955,0.71685,0.774,0.85045,-0.0148,1.0,0.378,1.08515,1.10385,1.0605000000000002,1.479,1.4438499999999999,1.31615,0.08215,0.14345,0.1696,0.07519999999999999,0.13095,0.15889999999999999,0.054349999999999996,0.09995,0.12840000000000001,0.73045,0.76635,0.8003,0.72885,7.8372,46.2066,0.1683,-18.8307,0.7323500000000001,1.0,1.0,1.0,3.0583,0.7057,1.2462,0.83415,0.5396,0.0557,-0.38744999999999996,0.1137,0.97125,0.1247,0.8182,0.9,0.0909,0.9,0.17004999999999998,0.11915,0.9667,0.11915
1,5,-4.561249999999999,-3.6915500000000003,-2.9562,-1.9641,-4.5319,-3.65655,-2.9240500000000003,-1.92725,0.63995,0.7086,0.7666,0.84495,0.6429,0.71195,0.7696,0.8481,0.0873,1.0,0.41265,1.0844,1.09995,1.05905,1.5222,1.4399,1.3397000000000001,0.0825,0.14645,0.1726,0.07615,0.132,0.16225,0.0545,0.10115,0.12855,0.7138,0.76485,0.7911999999999999,0.7293000000000001,7.25135,23.0274,0.3201,107.3743,0.7345999999999999,1.0,1.0,1.0,3.0583,0.7057,1.2462,0.83525,0.54235,0.0554,-0.38765000000000005,0.13135000000000002,0.97165,0.14229999999999998,0.8182,0.9,0.0909,0.9,0.1698,0.12035,0.96695,0.12035
2,1,-2.10515,-1.7582,-1.4136000000000002,-1.0377,-2.113,-1.7603499999999999,-1.41585,-1.0366,0.8338,0.8612,0.8884,0.91805,0.8335,0.8613,0.88845,0.9183,-0.37605,13.0,0.9123,0.9307000000000001,1.5,1.03985,1.8492,1.9256,0.9655499999999999,0.10155,0.1835,0.045950000000000005,0.10919999999999999,0.1227,0.0444,0.055150000000000005,0.09415000000000001,0.047,0.50115,0.76925,1.0779999999999998,0.80745,4695830.8281,754.2103,6247.566999999999,16637949.899,0.80905,0.9984,5651.8195,0.9992,468458.0116,5.991,6.7918,0.7867,0.55265,0.0791,-0.28685,0.07239999999999999,0.9538,0.08145,0.8182,0.9,0.0909,0.9,0.1746,0.12240000000000001,1.0,0.12240000000000001
2,2,-2.04315,-1.7591,-1.4423499999999998,-1.04405,-2.04245,-1.76235,-1.444,-1.04315,0.8387,0.8611,0.8861000000000001,0.91755,0.8390500000000001,0.86115,0.8862,0.9178,-0.14300000000000002,10.0,1.01045,0.9975,1.9152,1.30165,1.3356,3.0044000000000004,1.1811,0.1,0.33625,0.17604999999999998,0.1003,0.17485,0.1325,0.0749,0.11155000000000001,0.149,0.74315,0.6329,1.1250499999999999,0.62255,3076223.00655,533.2046,5757.939200000001,12972568.565450002,0.62755,0.9969,4347.794449999999,0.9987,479508.19110000005,6.011,6.7317,0.81185,0.55795,0.07925,-0.3248,0.0777,0.9535,0.0854,0.8182,0.9,0.0909,0.9,0.1648,0.12065000000000001,1.0,0.12065000000000001
2,3,-2.068,-1.6975500000000001,-1.3544999999999998,-0.9763,-2.0606,-1.68915,-1.34915,-0.9774499999999999,0.83675,0.866,0.89305,0.9229,0.83765,0.8669,0.8936999999999999,0.9229499999999999,-0.37865000000000004,16.0,0.8311999999999999,1.1102500000000002,1.721,1.01675,2.362,2.08555,1.0063499999999999,0.08645,0.0786,0.029449999999999997,0.07744999999999999,0.044950000000000004,0.0291,0.03655,0.037750000000000006,0.0292,0.47125,0.84565,1.00435,0.8749,6263312.335,850.0572999999999,7355.663549999999,22631590.8514,0.8762,0.9982,4028.3753,0.9984,589889.6426,6.1111,6.8919,0.7558,0.5354,0.08015,-0.29025,0.0811,0.9523,0.0858,0.8182,0.9,0.0909,0.9,0.1778,0.12090000000000001,1.0,0.12090000000000001
2,4,-2.13475,-1.7032,-1.4443000000000001,-1.0986500000000001,-2.14605,-1.70735,-1.4455,-1.1033,0.8315,0.86555,0.88595,0.91325,0.8308500000000001,0.8655,0.8861,0.913,-0.429,6.0,0.52915,1.1867999999999999,4.72635,2.59725,1.9744,2.6403,2.3978,0.10045000000000001,0.2597,0.3144,0.08510000000000001,0.0548,0.12154999999999999,0.0509,0.09815,0.13115,0.59495,1.81305,1.0836999999999999,0.28874999999999995,1604483.4042500001,148.03405,10803.422,13749739.144000001,0.29769999999999996,0.9979,5425.714400000001,0.998,617718.7597,6.0911,6.6517,0.8212,0.5533,0.0784,-0.42610000000000003,0.089,0.9542,0.09075,0.9091,0.9,0.0909,0.9,0.14229999999999998,0.12079999999999999,1.0,0.12079999999999999
2,5,-2.0631500000000003,-1.7438,-1.468,-1.01145,-2.0593500000000002,-1.7351999999999999,-1.47015,-1.01545,0.8371500000000001,0.86235,0.8841,0.92015,0.8377,0.8632500000000001,0.88415,0.9199999999999999,-0.26195,13.0,0.97005,1.1043,1.8622999999999998,1.0152999999999999,2.40885,1.9234499999999999,0.9839,0.09095,0.09784999999999999,0.038,0.08245,0.0528,0.037,0.03765,0.050949999999999995,0.038900000000000004,0.46640000000000004,0.97275,1.03635,0.82555,6288213.8818500005,813.4493500000001,7730.1052,22412333.92595,0.82735,0.9982,7942.97265,0.9987,490558.3706,6.0711,6.952,0.7709,0.5405,0.07925,-0.2899,0.0798,0.9532,0.0849,0.8182,0.9,0.0909,0.9,0.1759,0.1221,1.0,0.1221
