f_id,i_id,dim0,dim1
1,4,-4.7061834,21.135864
2,4,-24.830212,4.599091
3,4,12.759382,2.6405952
4,4,13.402194,2.4850595
5,4,-5.80465,20.039904
6,4,10.335058,2.2125213
7,4,11.337182,2.5456328
8,4,13.425038,0.9443028
9,4,12.302403,-1.2344753
10,4,7.284893,17.88058
11,4,7.3471856,16.535877
12,4,7.104102,17.680376
13,4,11.26824,1.6766896
14,4,0.50462025,9.813952
15,4,12.324664,2.6972916
16,4,-2.6707182,10.712487
17,4,-0.4555223,11.342176
18,4,-0.7609176,11.689627
19,4,-2.0005004,9.338154
20,4,-23.616676,3.38564
21,4,-2.1701596,10.109924
22,4,-0.53604734,10.04554
23,4,-1.1228604,7.923195
24,4,13.5213785,-0.21983053
