f_id,i_id,dim0,dim1
1,3,-9.039708,-16.334892
2,3,-12.2522,5.7507653
3,3,17.909193,5.475238
4,3,16.500624,7.320209
5,3,-9.994584,-17.289488
6,3,17.788633,5.3506083
7,3,19.085173,6.106664
8,3,16.3713,7.3507395
9,3,19.737396,8.839027
10,3,18.818823,-6.7563787
11,3,18.41876,-8.114686
12,3,18.718012,-6.8669596
13,3,19.18925,6.6568384
14,3,-0.24606323,3.6226199
15,3,16.253248,6.1595387
16,3,-2.1094837,0.16977106
17,3,-0.22598347,2.700998
18,3,-1.4642695,2.8894584
19,3,0.2666938,1.0953476
20,3,-13.888066,6.3633947
21,3,-1.9812791,1.1163417
22,3,-1.9959298,1.2138281
23,3,1.0303819,1.8766012
24,3,19.977541,6.973932
